ID des chaînes,URL des chaînes,Titres des chaînes
UC2eEGT06FrWFU6VBnPOR9lg,http://www.youtube.com/channel/UC2eEGT06FrWFU6VBnPOR9lg,Girlfriend Reviews
UC3sznuotAs2ohg_U__Jzj_Q,http://www.youtube.com/channel/UC3sznuotAs2ohg_U__Jzj_Q,The Film Theorists
UC6-ymYjG0SU0jUWnWh9ZzEQ,http://www.youtube.com/channel/UC6-ymYjG0SU0jUWnWh9ZzEQ,Wisecrack
UC7FVvYGiBpgjGx7rqb5SIPg,http://www.youtube.com/channel/UC7FVvYGiBpgjGx7rqb5SIPg,Skelotim
UC7WDD6yHgzdqijHluCi1z-Q,http://www.youtube.com/channel/UC7WDD6yHgzdqijHluCi1z-Q,The Act Man
UC8CbFnDTYkiVweaz8y9wd_Q,http://www.youtube.com/channel/UC8CbFnDTYkiVweaz8y9wd_Q,Star Wars Theory
UC8butISFwT-Wl7EV0hUK0BQ,http://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org
UCBJycsmduvYEL83R_U4JriQ,http://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee
UCEBb1b_L6zDS3xTUrIALZOw,http://www.youtube.com/channel/UCEBb1b_L6zDS3xTUrIALZOw,MIT OpenCourseWare
UCFd9YqkL1lFzZwmMYp6JL_Q,http://www.youtube.com/channel/UCFd9YqkL1lFzZwmMYp6JL_Q,Darksiders
UCGShEunFKvEhTYRKesRgakQ,http://www.youtube.com/channel/UCGShEunFKvEhTYRKesRgakQ,Star Wars Reading Club
UCG_nvdTLdijiAAuPKxtvBjA,http://www.youtube.com/channel/UCG_nvdTLdijiAAuPKxtvBjA,Filmento
UCHCph-_jLba_9atyCZJPLQQ,http://www.youtube.com/channel/UCHCph-_jLba_9atyCZJPLQQ,How It Should Have Ended
UCHuiy8bXnmK5nisYHUd1J5g,http://www.youtube.com/channel/UCHuiy8bXnmK5nisYHUd1J5g,NVIDIA
UCJ2ZDzMRgSrxmwphstrm8Ww,http://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,Smosh Games
UCKhvrZFbsNN_1tFN-X3iENg,http://www.youtube.com/channel/UCKhvrZFbsNN_1tFN-X3iENg,The Imaginary Axis
UCKxQmKgrkUv4S7P5w0pLayw,http://www.youtube.com/channel/UCKxQmKgrkUv4S7P5w0pLayw,Comics Explained
UCKy1dAqELo0zrOtPkf0eTMw,http://www.youtube.com/channel/UCKy1dAqELo0zrOtPkf0eTMw,IGN
UCOpcACMWblDls9Z6GERVi1A,http://www.youtube.com/channel/UCOpcACMWblDls9Z6GERVi1A,Screen Junkies
UCPYJR2EIu0_MJaDeSGwkIVw,http://www.youtube.com/channel/UCPYJR2EIu0_MJaDeSGwkIVw,The Completionist
UCQYMhOMi_Cdj1CEAU-fv80A,http://www.youtube.com/channel/UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy
UCT6iAerLNE-0J1S_E97UAuQ,http://www.youtube.com/channel/UCT6iAerLNE-0J1S_E97UAuQ,YongYea
UCVYamHliCI9rw1tHR1xbkfw,http://www.youtube.com/channel/UCVYamHliCI9rw1tHR1xbkfw,Dave2D
UCXj7EFAEM6PtQLjjh0wfsSA,http://www.youtube.com/channel/UCXj7EFAEM6PtQLjjh0wfsSA,Cleanprincegaming
UCXjmz8dFzRJZrZY8eFiXNUQ,http://www.youtube.com/channel/UCXjmz8dFzRJZrZY8eFiXNUQ,Nerdstalgic
UCXuqSBlHAE6Xw-yeJA0Tunw,http://www.youtube.com/channel/UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips
UCZ7AeeVbyslLM_8-nVy2B8Q,http://www.youtube.com/channel/UCZ7AeeVbyslLM_8-nVy2B8Q,Skill Up
UCbLj9QP9FAaHs_647QckGtg,http://www.youtube.com/channel/UCbLj9QP9FAaHs_647QckGtg,World of Warcraft
UCey_c7U86mJGz1VJWH5CYPA,http://www.youtube.com/channel/UCey_c7U86mJGz1VJWH5CYPA,iJustine
UCgESfl93BM2y85abdt8BcZw,http://www.youtube.com/channel/UCgESfl93BM2y85abdt8BcZw,ElSmosh
UCgyhGX2FNKqDJwU0-Nw4wUg,http://www.youtube.com/channel/UCgyhGX2FNKqDJwU0-Nw4wUg,Como Deberia Haber Terminado
UCgyqtNWZmIxTx3b6OxTSALw,http://www.youtube.com/channel/UCgyqtNWZmIxTx3b6OxTSALw,Android Authority
UChI0q9a-ZcbZh7dAu_-J-hg,http://www.youtube.com/channel/UChI0q9a-ZcbZh7dAu_-J-hg,Upper Echelon Gamers
UChRE-mEteKamJvcRIB2Seag,http://www.youtube.com/channel/UChRE-mEteKamJvcRIB2Seag,Les Éclaireurs
UCk40qSGYnVdFFBNXRjrvdpQ,http://www.youtube.com/channel/UCk40qSGYnVdFFBNXRjrvdpQ,Taylor Davis
UCnEuIogVV2Mv6Q1a3nHIRsQ,http://www.youtube.com/channel/UCnEuIogVV2Mv6Q1a3nHIRsQ,Carefree Wandering
UCo_IB5145EVNcf8hw1Kku7w,http://www.youtube.com/channel/UCo_IB5145EVNcf8hw1Kku7w,The Game Theorists
UCpqXJOEqGS-TCnazcHCo0rA,http://www.youtube.com/channel/UCpqXJOEqGS-TCnazcHCo0rA,theRadBrad
UCsTcErHg8oDvUnTzoqsYeNw,http://www.youtube.com/channel/UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy
UCsgv2QHkT2ljEixyulzOnUQ,http://www.youtube.com/channel/UCsgv2QHkT2ljEixyulzOnUQ,AngryJoeShow
UCucot-Zp428OwkyRm2I7v2Q,http://www.youtube.com/channel/UCucot-Zp428OwkyRm2I7v2Q,James Charles
UCwN_MU6-sDwOMArIlYIsKXA,http://www.youtube.com/channel/UCwN_MU6-sDwOMArIlYIsKXA,JeanBaptisteShow

