URL du titre,Titre de la chanson,Titre de l'album,Nom de l'artiste
https://music.youtube.com/watch?v=_NC-jbCWYoo,'Libera Me' from Hell,'Libera Me' from Hell,Taku Iwasaki
https://music.youtube.com/watch?v=g6-aWN8tlV0,"A Whole New World (From ""Aladdin"" / Soundtrack Version)",Disney: Les 50 Plus Belles Chansons (3 Vol.),"Lea Salonga, Brad Kane"
https://music.youtube.com/watch?v=_w2jrGbZ27o,Aerith's Theme (Final Fantasy VII),Distant Worlds: Music from Final Fantasy,Nobuo Uematsu
https://music.youtube.com/watch?v=GS-fvMpqg0c,Almost There,The Princess and the Frog (Original Motion Picture Soundtrack),Anika Noni Rose
https://music.youtube.com/watch?v=h1Hvrr2tpDQ,American Boy [Feat. Kanye West],Shine,Estelle
https://music.youtube.com/watch?v=iSEc6Euj2do,"An End, Once And For All",Mass Effect 3 (Original Soundtrack),Clint Mansell & Sam Hulick
https://music.youtube.com/watch?v=nw9yKCZ19ww,Arrival of the Birds,The Crimson Wing: Mystery Of The Flamingos,The Cinematic Orchestra
https://music.youtube.com/watch?v=JW-1f_pO_mI,Assassin's Creed III Main Theme,Assassin’s Creed 3 (Original Game Soundtrack),Lorne Balfe
https://music.youtube.com/watch?v=7-LrcsLuLCg,Atlas,Dystopia EP,Faux Tales
https://music.youtube.com/watch?v=tDQj7j-xogM,"Ave Maria, D. 839",Schubert : Lieder,Barbara Bonney
https://music.youtube.com/watch?v=miUhh2fKVYE,Back To You,13 Reasons Why (Season 2),Selena Gomez
https://music.youtube.com/watch?v=ZD6rXLXZOEI,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish
https://music.youtube.com/watch?v=681HOA2IamY,Beethoven's Silence (Concerto),Concertos Vol. I,Ernesto Cortazar
https://music.youtube.com/watch?v=kwYc9j48xgs,Blumenkranz,Don't Lose Your Way (Kill la Kill),Sapphire
https://music.youtube.com/watch?v=IERfs2JOO7A,Boys,Boys,Charli XCX
https://music.youtube.com/watch?v=DWkMsagxIDU,Break Free,My Everything,Ariana Grande
https://music.youtube.com/watch?v=V5ClukKTIZY,Broken Arrows,Stories,Avicii
https://music.youtube.com/watch?v=yFZk4ejL-W8,Can't Hold Me Down,Good Will Prevail,GRiZ
https://music.youtube.com/watch?v=KxKV_E-wB10,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",TROLLS (Original Motion Picture Soundtrack),Justin Timberlake
https://music.youtube.com/watch?v=IPLSS0bnsEU,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","Kygo, Rita Ora"
https://music.youtube.com/watch?v=Lur-rvf6A1c,Clarity,Clarity,Zedd
https://music.youtube.com/watch?v=eUFtEU32AN4,Clarity,Clarity (Deluxe),Zedd
https://music.youtube.com/watch?v=vYAttBEYq-Y,Colors,Ultra Blue,Utada Hikaru
https://music.youtube.com/watch?v=hcmpj5HPue0,Colors of the Wind,Walt Disney Records The Legacy Collection: Pocahontas,Judy Kuhn
https://music.youtube.com/watch?v=DzXEos0xIQM,Come and Get Your Love,Wovoka,Redbone
https://music.youtube.com/watch?v=-mta8kdXWSA,Dawn Of A New Time,Battlefield 1 (Original Soundtrack),"Johan Söderqvist, Patrik Andrén"
https://music.youtube.com/watch?v=5XMCHTAbwtU,Delicate,reputation,Taylor Swift
https://music.youtube.com/watch?v=ie-FB6Opo5c,Deliver Us (The Prince Of Egypt/Soundtrack Version),The Prince of Egypt,"Ofra Haza, Eden Riegel"
https://music.youtube.com/watch?v=il1zid5_lnI,Don't Think Twice,Don't Think Twice,Hikaru Utada
https://music.youtube.com/watch?v=WaFD7Gs75hQ,Don't Wanna Know,Red Pill Blues (Deluxe),Maroon 5
https://music.youtube.com/watch?v=RX9ylUD8kPw,Dreams of Venice,Assassin’s Creed: The Best of Jesper Kyd,Jesper Kyd
