ID de la playlist,ID des chaînes,Date et heure de création,Date et heure de mise à jour,Titre,Description,Visibilité
PLy0L-A3Ggd6s8mN5yig97wfc43bfHv_-f,UCRdDMa9ryNyZhMIxQPhR1tA,2021-05-02 19:25:12 UTC,2021-05-17 21:03:46 UTC,Good music,,Public

ID vidéo,Date et heure d'ajout
Q8uR9MTI55A,2021-05-02 19:25:12 UTC
n25nqibaIDg,2021-05-02 19:35:28 UTC
e9r5hx47kxM,2021-05-02 19:35:41 UTC
 -mtcfkWDbOU,2021-05-02 19:35:49 UTC
D60HTdBckxM,2021-05-02 19:36:24 UTC
ZMYisFOaz1s,2021-05-02 21:25:26 UTC
ck294MtGHAU,2021-05-02 21:25:30 UTC
ZOVkYAxHvkk,2021-05-05 05:37:45 UTC
vhhJb-GVUdE,2021-05-06 21:01:43 UTC
Jrg9KxGNeJY,2021-05-17 21:03:46 UTC

