ID de la playlist,ID des chaînes,Date et heure de création,Date et heure de mise à jour,Titre,Description,Visibilité
PLy0L-A3Ggd6uXCKeS6lxN_FdJhCZtr1BC,UCRdDMa9ryNyZhMIxQPhR1tA,2016-07-29 19:53:56 UTC,2021-09-25 17:32:56 UTC,Watch later,,Personnel

ID vidéo,Date et heure d'ajout
o0XbHvKxw7Y,2021-09-20 14:58:53 UTC
FXpIoQ_rT_c,2021-09-07 21:43:33 UTC
qFJeN9V1ZsI,2021-09-02 14:28:14 UTC
iWCV851MnZ8,2021-09-02 09:42:50 UTC
tpCFfeUEGs8,2021-09-01 09:03:55 UTC
_8V5o2UHG0E,2021-08-29 22:42:30 UTC
DGwyr2zkQEA,2021-08-28 21:21:21 UTC
pyXnX2SEaFc,2021-08-25 13:38:33 UTC
HaE2Aybpc0o,2021-08-22 16:17:43 UTC
-24uYbeFmhc,2021-08-19 13:33:16 UTC
TdcQPpHF5bo,2021-08-18 10:04:04 UTC
rfscVS0vtbw,2021-08-16 18:12:09 UTC
Mo4vesaut8g,2021-08-14 08:33:24 UTC
K2qjAixgLqk,2021-07-30 17:08:14 UTC
B3BUYmU07h8,2021-07-30 14:46:00 UTC
LMKml4lefOc,2021-07-30 12:25:57 UTC
A80YzvNwqXA,2021-07-28 14:20:39 UTC
zuegQmMdy8M,2021-07-28 09:18:00 UTC
tPYj3fFJGjk,2021-07-27 08:47:21 UTC
mUwNreEyzec,2021-07-26 14:11:29 UTC
01sAkU_NvOY,2021-07-25 23:42:13 UTC
wt7a5BOztuM,2021-07-23 14:07:58 UTC
gTU2FYoP9pQ,2021-07-22 16:36:52 UTC
IJDJ0kBx2LM,2021-07-19 16:39:14 UTC
v8edL03bM_I,2021-07-16 01:39:42 UTC
g6JXMEHFFMk,2021-07-16 01:36:11 UTC
12f0ligwS5s,2021-07-14 08:17:59 UTC
Ia0mBZaVoSg,2021-07-13 21:59:47 UTC
SOd9NuEgR8A,2021-07-13 11:13:31 UTC
9Y-YJEtxHeo,2021-07-11 08:59:19 UTC
WnMQ8HlmeXc,2021-07-08 06:35:19 UTC
ejTCm7eHsM8,2021-07-07 21:18:30 UTC
HfACrKJ_Y2w,2021-07-07 18:35:29 UTC
MjabBpKbX9Q,2021-07-07 14:57:30 UTC
NUg9W8Hb87Y,2021-07-05 00:13:46 UTC
Rgpfk6eYxJA,2021-06-26 11:38:53 UTC
yqkISICHH-U,2021-06-25 19:11:48 UTC
xkct2HBpgNY,2021-06-22 21:00:41 UTC
l7-f9gS8VOs,2021-06-21 14:46:36 UTC
i_Iq4_Kd7Rc,2021-06-16 13:28:12 UTC
zhZjB0ZBUYM,2021-05-31 16:08:19 UTC
W3mwVQZFyfE,2021-05-30 21:55:24 UTC
3V-7lfTAT44,2021-05-28 10:14:03 UTC
BcHnI3hK7no,2021-05-27 10:06:43 UTC
ChjAPEPUuAQ,2021-05-26 19:41:28 UTC
FXGgeD8XVNk,2021-05-24 20:58:32 UTC
qP-2hMNnhgY,2021-05-24 20:58:17 UTC
g3xFE0GJQBs,2021-05-24 20:54:33 UTC
K1u7IuwhP8Y,2021-05-23 23:25:51 UTC
VE-fl7HfS20,2021-05-23 13:24:49 UTC
5D0URXgUIrk,2021-05-21 14:10:29 UTC
y-C5Q57_Myc,2021-05-21 07:39:06 UTC
lyC7EGK7Z_Y,2021-05-21 07:38:54 UTC
Mqb2dVRe0uo,2021-05-20 10:52:34 UTC
kHvR7dVqF64,2021-05-17 04:43:27 UTC
NU_1StN5Tkk,2021-05-06 19:29:42 UTC
10PbGbTUSAg,2021-05-03 16:14:38 UTC
RyTRgQ7k6QE,2021-04-30 15:10:47 UTC
Oe421EPjeBE,2021-04-30 15:10:35 UTC
ulprqHHWlng,2021-04-28 12:52:19 UTC
F5mRW0jo-U4,2021-04-28 11:57:33 UTC
RGOj5yH7evk,2021-04-28 09:30:01 UTC
RrKRN9zRBWs,2021-04-27 08:13:58 UTC
fHFpe8x1GS4,2021-04-26 00:28:31 UTC
oBt53YbR9Kk,2021-04-23 13:11:16 UTC
4cWkVbC2bNE,2021-04-23 00:11:35 UTC
YRAIUA-Oc1Y,2021-04-21 21:23:24 UTC
4deVCNJq3qc,2021-04-12 19:47:23 UTC
ua-CiDNNj30,2021-04-08 12:51:56 UTC
LonKGuS9uuQ,2021-04-06 21:50:40 UTC
QUT1VHiLmmI,2021-04-05 07:43:07 UTC
NKEFWyqJ5XA,2021-04-04 08:44:30 UTC
p65AHm9MX80,2021-04-03 22:21:52 UTC
grEKMHGYyns,2021-04-03 11:44:30 UTC
IODxDxX7oi4,2021-03-31 20:55:20 UTC
tufwhPXTDYI,2021-03-31 14:16:32 UTC
cABuP6ZdUno,2021-03-25 10:04:29 UTC
MH35yzmM2oU,2021-03-24 19:28:43 UTC
q0ExenSoqso,2021-03-21 18:57:05 UTC
FkrpUaGThTQ,2021-03-18 11:32:27 UTC
-4rahTls8Cw,2021-03-18 10:59:45 UTC
DEqXNfs_HhY,2021-03-18 00:20:36 UTC
RBSGKlAvoiM,2021-03-17 14:43:59 UTC
 -rOAE6zGKz8,2021-03-17 14:31:45 UTC
Wz9mIBlzVx8,2021-03-07 21:42:43 UTC
egBTkbLXbLg,2021-03-07 21:19:18 UTC
ELR7DkxTOoM,2021-03-04 16:46:00 UTC
4Ah2I166f_U,2021-03-04 10:54:04 UTC
DwnS5JNL4IY,2021-02-24 22:35:31 UTC
cdVqEHYrzyU,2021-02-21 20:37:18 UTC
wBp0Rb-ZJak,2021-02-21 18:35:55 UTC
fqMOX6JJhGo,2021-02-21 18:09:10 UTC
gPa2Rqb8mzo,2021-02-18 23:49:08 UTC
IThqP4tSbpQ,2021-02-18 23:46:39 UTC
wwKv0UM6IwQ,2021-02-18 23:42:27 UTC
